doctor_id,language_id
11100001,101004
11100002,101004
11100003,101004
11100004,101004
11100005,101004
11100006,101004
11100007,101004
11100008,101004
11100009,101004
11100010,101004
11100011,101004
11100012,101004
11100013,101004
11100014,101004
11100015,101004
11100016,101004
11100017,101004
11100018,101004
11100019,101004
11100020,101004
11100021,101004
11100022,101004
11100023,101004
11100024,101004
11100025,101004
11100026,101004
11100027,101004
11100028,101004
11100029,101004
11100030,101004
11100031,101004
11100032,101004
11100033,101004
11100034,101004
11100035,101004
11100036,101004
11100037,101004
11100038,101004
11100039,101004
11100040,101004
11100041,101004
11100042,101004
11100043,101004
11100044,101004
11100045,101004
11100046,101004
11100047,101004
11100048,101004
11100049,101004
11100050,101004
11100051,101004
11100052,101004
11100053,101004
11100054,101004
11100055,101004
11100056,101004
11100057,101004
11100058,101004
11100059,101004
11100060,101004
11100061,101004
11100062,101004
11100063,101004
11100064,101004
11100065,101004
11100066,101004
11100067,101004
11100068,101004
11100069,101004
11100070,101004
11100071,101004
11100072,101004
11100073,101004
11100074,101004
11100075,101004
11100076,101004
11100077,101004
11100078,101004
11100079,101004
11100080,101004
11100081,101004
11100082,101004
11100083,101004
11100084,101004
11100085,101004
11100086,101004
11100087,101004
11100088,101004
11100089,101004
11100090,101004
11100091,101004
11100092,101004
11100093,101004
11100094,101004
11100095,101004
11100096,101004
11100097,101004
11100098,101004
11100099,101004
11100100,101004
11100101,101004
11100102,101004
11100103,101004
11100104,101004
11100105,101004
11100106,101004
11100107,101004
11100108,101004
11100109,101004
11100110,101004
11100111,101004
11100112,101004
11100113,101004
11100114,101004
11100115,101004
11100116,101004
11100117,101004
11100118,101004
11100119,101004
11100120,101004
11100121,101004
11100122,101004
11100123,101004
11100124,101004
11100125,101004
11100126,101004
11100127,101004
11100128,101004
11100129,101004
11100130,101004
11100131,101004
11100132,101004
11100133,101004
11100134,101004
11100135,101004
11100136,101004
11100137,101004
11100138,101004
11100139,101004
11100140,101004
11100141,101004
11100142,101004
11100143,101004
11100144,101004
11100145,101004
11100146,101004
11100147,101004
11100148,101004
11100149,101004
11100150,101004
11100151,101004
11100152,101004
11100153,101004
11100154,101004
11100155,101004
11100156,101004
11100157,101004
11100158,101004
11100159,101004
11100160,101004
11100161,101004
11100162,101004
11100163,101004
11100164,101004
11100165,101004
11100166,101004
11100167,101004
11100168,101004
11100169,101004
11100170,101004
11100171,101004
11100172,101004
11100173,101004
11100174,101004
11100175,101004
11100176,101004
11100177,101004
11100178,101004
11100179,101004
11100180,101004
11100181,101004
11100182,101004
11100183,101004
11100184,101004
11100185,101004
11100186,101004
11100187,101004
11100188,101004
11100189,101004
11100190,101004
11100191,101004
11100192,101004
11100193,101004
11100194,101004
11100195,101004
11100196,101004
11100197,101004
11100198,101004
11100199,101004
11100200,101004
11100201,101004
11100202,101004
11100203,101004
11100204,101004
11100205,101004
11100206,101004
11100207,101004
11100208,101004
11100209,101004
11100210,101004
11100211,101004
11100212,101004
11100213,101004
11100214,101004
11100215,101004
11100216,101004
11100217,101004
11100218,101004
11100219,101004
11100220,101004
11100221,101004
11100222,101004
11100223,101004
11100224,101004
11100225,101004
11100226,101004
11100227,101004
11100228,101004
11100229,101004
11100230,101004
11100231,101004
11100232,101004
11100233,101004
11100234,101004
11100235,101004
11100236,101004
11100237,101004
11100238,101004
11100239,101004
11100240,101004
11100241,101004
11100242,101004
11100243,101004
11100244,101004
11100245,101004
11100246,101004
11100247,101004
11100248,101004
11100249,101004
11100250,101004
11100251,101004
11100252,101004
11100253,101004
11100254,101004
11100255,101004
11100256,101004
11100257,101004
11100258,101004
11100259,101004
11100260,101004
11100261,101004
11100262,101004
11100263,101004
11100264,101004
11100265,101004
11100266,101004
11100267,101004
11100268,101004
11100269,101004
11100270,101004
11100271,101004
11100272,101004
11100273,101004
11100274,101004
11100275,101004
11100276,101004
11100277,101004
11100278,101004
11100279,101004
11100280,101004
11100281,101004
11100282,101004
11100283,101004
11100284,101004
11100285,101004
11100286,101004
11100287,101004
11100288,101004
11100289,101004
11100290,101004
11100291,101004
11100292,101004
11100293,101004
11100294,101004
11100295,101004
11100296,101004
11100297,101004
11100298,101004
11100299,101004
11100300,101004
11100301,101004
11100302,101004
11100303,101004
11100304,101004
11100305,101004
11100306,101004
11100307,101004
11100308,101004
11100309,101004
11100310,101004
11100311,101004
11100312,101004
11100313,101004
11100314,101004
11100315,101004
11100316,101004
11100317,101004
11100318,101004
11100319,101004
11100320,101004
11100321,101004
11100322,101004
11100323,101004
11100324,101004
11100325,101004
11100326,101004
11100327,101004
11100328,101004
11100329,101004
11100330,101004
11100331,101004
11100332,101004
11100333,101004
11100334,101004
11100335,101004
11100336,101004
11100337,101004
11100338,101004
11100339,101004
11100340,101004
11100341,101004
11100342,101004
11100343,101004
11100344,101004
11100345,101004
11100346,101004
11100347,101004
11100348,101004
11100349,101004
11100350,101004
11100351,101004
11100352,101004
11100353,101004
11100354,101004
11100355,101004
11100356,101004
11100357,101004
11100358,101004
11100359,101004
11100360,101004
11100361,101004
11100362,101004
11100363,101004
11100364,101004
11100365,101004
11100366,101004
11100367,101004
11100368,101004
11100369,101004
11100370,101004
11100371,101004
11100372,101004
11100373,101004
11100374,101004
11100375,101004
11100376,101004
11100377,101004
11100378,101004
11100379,101004
11100380,101004
11100381,101004
11100382,101004
11100383,101004
11100384,101004
11100385,101004
11100386,101004
11100387,101004
11100388,101004
11100389,101004
11100390,101004
11100391,101004
11100392,101004
11100393,101004
11100394,101004
11100395,101004
11100396,101004
11100397,101004
11100398,101004
11100399,101004
11100400,101004
11100401,101004
11100402,101004
11100403,101004
11100404,101004
11100405,101004
11100406,101004
11100407,101004
11100408,101004
11100409,101004
11100410,101004
11100411,101004
11100412,101004
11100413,101004
11100414,101004
11100415,101004
11100416,101004
11100417,101004
11100418,101004
11100419,101004
11100420,101004
11100421,101004
11100422,101004
11100423,101004
11100424,101004
11100425,101004
11100426,101004
11100427,101004
11100428,101004
11100429,101004
11100430,101004
11100431,101004
11100432,101004
11100433,101004
11100434,101004
11100435,101004
11100436,101004
11100437,101004
11100438,101004
11100439,101004
11100440,101004
11100441,101004
11100442,101004
11100443,101004
11100444,101004
11100445,101004
11100446,101004
11100447,101004
11100448,101004
11100449,101004
11100450,101004
11100451,101004
11100452,101004
11100453,101004
11100454,101004
11100455,101004
11100456,101004
11100457,101004
11100458,101004
11100459,101004
11100460,101004
11100461,101004
11100462,101004
11100463,101004
11100464,101004
11100465,101004
11100466,101004
11100467,101004
11100468,101004
11100469,101004
11100470,101004
11100471,101004
11100472,101004
11100473,101004
11100474,101004
11100475,101004
11100476,101004
11100477,101004
11100478,101004
11100479,101004
11100480,101004
11100481,101004
11100482,101004
11100483,101004
11100484,101004
11100485,101004
11100486,101004
11100487,101004
11100488,101004
11100489,101004
11100490,101004
11100491,101004
11100492,101004
11100493,101004
11100494,101004
11100495,101004
11100496,101004
11100497,101004
11100498,101004
11100499,101004
11100500,101004
11100501,101004
11100502,101004
11100503,101004
11100504,101004
11100505,101004
11100506,101004
11100507,101004
11100508,101004
11100509,101004
11100510,101004
11100511,101004
11100512,101004
11100513,101004
11100514,101004
11100515,101004
11100516,101004
11100517,101004
11100518,101004
11100519,101004
11100520,101004
11100521,101004
11100522,101004
11100523,101004
11100524,101004
11100525,101004
11100526,101004
11100527,101004
11100528,101004
11100529,101004
11100530,101004
11100531,101004
11100532,101004
11100533,101004
11100534,101004
11100535,101004
11100536,101004
11100537,101004
11100538,101004
11100539,101004
11100540,101004
11100541,101004
11100542,101004
11100543,101004
11100544,101004
11100545,101004
11100546,101004
11100547,101004
11100548,101004
11100549,101004
11100550,101004
11100551,101004
11100552,101004
11100553,101004
11100554,101004
11100555,101004
11100556,101004
11100557,101004
11100558,101004
11100559,101004
11100560,101004
11100561,101004
11100562,101004
11100563,101004
11100564,101004
11100565,101004
11100566,101004
11100567,101004
11100568,101004
11100569,101004
11100570,101004
11100571,101004
11100572,101004
11100573,101004
11100574,101004
11100575,101004
11100576,101004
11100577,101004
11100578,101004
11100579,101004
11100580,101004
11100581,101004
11100582,101004
11100583,101004
11100584,101004
11100585,101004
11100586,101004
11100587,101004
11100588,101004
11100589,101004
11100590,101004
11100591,101004
11100592,101004
11100593,101004
11100594,101004
11100595,101004
11100596,101004
11100597,101004
11100598,101004
11100599,101004
11100600,101004
11100601,101004
11100602,101004
11100603,101004
11100604,101004
11100605,101004
11100606,101004
11100607,101004
11100608,101004
11100609,101004
11100610,101004
11100611,101004
11100612,101004
11100613,101004
11100614,101004
11100615,101004
11100616,101004
11100617,101004
11100618,101004
11100619,101004
11100620,101004
11100621,101004
11100622,101004
11100623,101004
11100624,101004
11100625,101004
11100626,101004
11100627,101004
11100628,101004
11100629,101004
11100630,101004
11100631,101004
11100632,101004
11100633,101004
11100634,101004
11100635,101004
11100636,101004
11100637,101004
11100638,101004
11100639,101004
11100640,101004
11100641,101004
11100642,101004
11100643,101004
11100644,101004
11100645,101004
11100646,101004
11100647,101004
11100648,101004
11100649,101004
11100650,101004
11100651,101004
11100652,101004
11100653,101004
11100654,101004
11100655,101004
11100656,101004
11100657,101004
11100658,101004
11100659,101004
11100660,101004
11100661,101004
11100662,101004
11100663,101004
11100664,101004
11100665,101004
11100666,101004
11100667,101004
11100668,101004
11100669,101004
11100670,101004
11100671,101004
11100672,101004
11100673,101004
11100674,101004
11100675,101004
11100676,101004
11100677,101004
11100678,101004
11100679,101004
11100680,101004
11100681,101004
11100682,101004
11100683,101004
11100684,101004
11100685,101004
11100686,101004
11100687,101004
11100688,101004
11100689,101004
11100690,101004
11100691,101004
11100692,101004
11100693,101004
11100694,101004
11100695,101004
11100696,101004
11100697,101004
11100698,101004
11100699,101004
11100700,101004
11100701,101004
11100702,101004
11100703,101004
11100704,101004
11100705,101004
11100706,101004
11100707,101004
11100708,101004
11100709,101004
11100710,101004
11100711,101004
11100712,101004
11100713,101004
11100714,101004
11100715,101004
11100716,101004
11100717,101004
11100718,101004
11100719,101004
11100720,101004
11100721,101004
11100722,101004
11100723,101004
11100724,101004
11100725,101004
11100726,101004
11100727,101004
11100728,101004
11100729,101004
11100730,101004
11100731,101004
11100732,101004
11100733,101004
11100734,101004
11100735,101004
11100736,101004
11100737,101004
11100738,101004
11100739,101004
11100740,101004
11100741,101004
11100742,101004
11100743,101004
11100744,101004
11100745,101004
11100746,101004
11100747,101004
11100748,101004
11100749,101004
11100750,101004
11100751,101004
11100752,101004
11100753,101004
11100754,101004
11100755,101004
11100756,101004
11100757,101004
11100758,101004
11100759,101004
11100760,101004
11100761,101004
11100762,101004
11100763,101004
11100764,101004
11100765,101004
11100766,101004
11100767,101004
11100768,101004
11100769,101004
11100770,101004
11100771,101004
11100772,101004
11100773,101004
11100774,101004
11100775,101004
11100776,101004
11100777,101004
11100778,101004
11100779,101004
11100780,101004
11100781,101004
11100782,101004
11100783,101004
11100784,101004
11100785,101004
11100786,101004
11100787,101004
11100788,101004
11100789,101004
11100790,101004
11100791,101004
11100792,101004
11100793,101004
11100794,101004
11100795,101004
11100796,101004
11100797,101004
11100798,101004
11100799,101004
11100800,101004
11100801,101004
11100802,101004
11100803,101004
11100804,101004
11100805,101004
11100806,101004
11100807,101004
11100808,101004
11100809,101004
11100810,101004
11100811,101004
11100812,101004
11100813,101004
11100814,101004
11100815,101004
11100816,101004
11100817,101004
11100818,101004
11100819,101004
11100820,101004
11100821,101004
11100822,101004
11100823,101004
11100824,101004
11100825,101004
11100826,101004
11100827,101004
11100828,101004
11100829,101004
11100830,101004
11100831,101004
11100832,101004
11100833,101004
11100834,101004
11100835,101004
11100836,101004
11100837,101004
11100838,101004
11100839,101004
11100840,101004
11100841,101004
11100842,101004
11100843,101004
11100844,101004
11100845,101004
11100846,101004
11100847,101004
11100848,101004
11100849,101004
11100850,101004
11100851,101004
11100852,101004
11100853,101004
11100854,101004
11100855,101004
11100856,101004
11100857,101004
11100858,101004
11100859,101004
11100860,101004
11100861,101004
11100862,101004
11100863,101004
11100864,101004
11100865,101004
11100866,101004
11100867,101004
11100868,101004
11100869,101004
11100870,101004
11100871,101004
11100872,101004
11100873,101004
11100874,101004
11100875,101004
11100876,101004
11100877,101004
11100878,101004
11100879,101004
11100880,101004
11100881,101004
11100882,101004
11100883,101004
11100884,101004
11100885,101004
11100886,101004
11100887,101004
11100888,101004
11100889,101004
11100890,101004
11100891,101004
11100892,101004
11100893,101004
11100894,101004
11100895,101004
11100896,101004
11100897,101004
11100898,101004
11100899,101004
11100900,101004
11100901,101004
11100902,101004
11100903,101004
11100904,101004
11100905,101004
11100906,101004
11100907,101004
11100908,101004
11100909,101004
11100910,101004
11100911,101004
11100912,101004
11100913,101004
11100914,101004
11100915,101004
11100916,101004
11100917,101004
11100918,101004
