availability_id,doctor_id
1002,11100001
1011,11100002
1009,11100003
1010,11100004
1002,11100005
1003,11100006
1019,11100007
1011,11100008
1003,11100009
1009,11100010
1018,11100011
1013,11100012
1008,11100013
1009,11100014
1002,11100015
1021,11100016
1002,11100017
1014,11100018
1019,11100019
1011,11100020
1002,11100021
1013,11100022
1008,11100023
1006,11100024
1002,11100025
1011,11100026
1011,11100027
1009,11100028
1013,11100029
1017,11100030
1009,11100031
1015,11100032
1002,11100033
1021,11100034
1012,11100035
1011,11100036
1014,11100037
1003,11100038
1007,11100039
1011,11100040
1006,11100041
1005,11100042
1008,11100043
1017,11100044
1021,11100045
1007,11100046
1016,11100047
1013,11100048
1011,11100049
1003,11100050
1010,11100051
1013,11100052
1002,11100053
1004,11100054
1009,11100055
1006,11100056
1020,11100057
1021,11100058
1021,11100059
1014,11100060
1007,11100061
1008,11100062
1007,11100063
1010,11100064
1009,11100065
1011,11100066
1010,11100067
1009,11100068
1017,11100069
1001,11100070
1007,11100071
1018,11100072
1010,11100073
1008,11100074
1009,11100075
1015,11100076
1007,11100077
1017,11100078
1003,11100079
1002,11100080
1001,11100081
1016,11100082
1004,11100083
1017,11100084
1011,11100085
1020,11100086
1003,11100087
1007,11100088
1007,11100089
1010,11100090
1008,11100091
1012,11100092
1020,11100093
1010,11100094
1004,11100095
1007,11100096
1020,11100097
1007,11100098
1004,11100099
1009,11100100
1004,11100101
1007,11100102
1013,11100103
1021,11100104
1007,11100105
1011,11100106
1011,11100107
1015,11100108
1011,11100109
1003,11100110
1013,11100111
1005,11100112
1015,11100113
1015,11100114
1020,11100115
1008,11100116
1012,11100117
1009,11100118
1018,11100119
1009,11100120
1007,11100121
1006,11100122
1014,11100123
1018,11100124
1003,11100125
1015,11100126
1004,11100127
1021,11100128
1010,11100129
1009,11100130
1014,11100131
1017,11100132
1021,11100133
1018,11100134
1012,11100135
1008,11100136
1014,11100137
1016,11100138
1016,11100139
1008,11100140
1012,11100141
1002,11100142
1021,11100143
1021,11100144
1018,11100145
1021,11100146
1019,11100147
1019,11100148
1018,11100149
1005,11100150
1002,11100151
1003,11100152
1019,11100153
1008,11100154
1009,11100155
1007,11100156
1010,11100157
1002,11100158
1007,11100159
1016,11100160
1018,11100161
1020,11100162
1006,11100163
1015,11100164
1012,11100165
1016,11100166
1015,11100167
1020,11100168
1019,11100169
1010,11100170
1006,11100171
1010,11100172
1006,11100173
1007,11100174
1012,11100175
1006,11100176
1020,11100177
1010,11100178
1013,11100179
1020,11100180
1005,11100181
1009,11100182
1001,11100183
1003,11100184
1003,11100185
1018,11100186
1007,11100187
1016,11100188
1013,11100189
1021,11100190
1020,11100191
1016,11100192
1015,11100193
1001,11100194
1013,11100195
1012,11100196
