rating_id,comment_id
33300003,123427
33300018,123423
33300021,123424
33300029,123418
33300042,123426
33300046,123422
33300051,123418
33300061,123426
33300066,123421
33300068,123418
33300073,123423
33300079,123425
33300086,123423
33300088,123419
33300091,123427
33300092,123423
33300104,123421
33300107,123422
33300108,123422
33300119,123422
33300122,123424
33300124,123418
33300130,123422
33300139,123421
33300140,123427
33300158,123425
33300169,123423
33300180,123420
33300183,123427
33300195,123420
33300201,123426
33300205,123419
33300206,123423
33300208,123426
33300225,123418
33300228,123420
33300229,123421
33300233,123427
33300236,123421
33300245,123427
33300246,123419
33300252,123423
33300256,123426
33300260,123427
33300271,123423
33300272,123422
33300278,123427
33300282,123423
33300283,123422
33300287,123426
33300297,123422
33300298,123419
33300302,123426
33300306,123420
33300309,123420
33300314,123427
33300315,123426
33300318,123423
33300333,123421
33300336,123420
33300339,123426
33300343,123420
33300352,123421
33300356,123426
33300360,123427
33300362,123423
33300367,123423
33300375,123427
33300379,123419
33300381,123418
33300382,123420
33300386,123418
33300390,123421
33300392,123420
33300400,123421
33300408,123422
33300410,123424
33300411,123421
33300412,123427
33300418,123420
33300420,123427
33300427,123421
33300451,123419
33300454,123420
33300464,123423
33300470,123426
33300472,123422
33300482,123422
33300501,123426
33300528,123420
33300533,123421
33300537,123421
33300542,123418
33300553,123427
33300563,123423
33300565,123419
33300572,123420
33300583,123422
33300587,123426
33300592,123423
33300603,123418
33300624,123418
33300625,123424
33300627,123427
33300629,123421
33300641,123423
33300643,123418
33300654,123426
33300667,123422
33300678,123427
33300702,123420
33300707,123423
33300709,123419
33300715,123421
33300727,123425
33300730,123427
33300738,123423
33300739,123421
33300744,123427
33300749,123427
33300751,123426
33300754,123426
33300760,123424
33300772,123422
33300780,123419
33300790,123423
33300791,123423
33300808,123423
33300820,123418
33300839,123421
33300840,123422
33300844,123419
33300845,123419
33300855,123418
33300862,123421
33300868,123421
33300870,123420
33300874,123424
33300875,123422
33300876,123420
33300884,123419
33300889,123425
33300892,123422
33300907,123422
33300919,123420
33300927,123422
33300934,123423
33300938,123418
33300947,123418
33300950,123427
33300954,123423
33300957,123422
33300958,123420
33300963,123425
33300970,123422
33300975,123427
33300979,123421
33300984,123427
33300987,123421
33300991,123425
33300999,123423
33301002,123425
33301007,123425
33301009,123420
33301015,123422
33301020,123418
33301022,123425
33301026,123422
33301029,123418
33301030,123421
33301035,123423
33301036,123425
33301047,123419
33301049,123425
33301051,123426
33301055,123419
33301061,123425
33301063,123424
33301069,123424
33301070,123421
33301071,123422
33301072,123420
33301079,123421
33301087,123424
33301088,123421
33301091,123419
33301095,123426
33301096,123422
33301099,123427
33301102,123418
33301106,123425
33301112,123424
33301116,123420
33301121,123421
33301124,123427
33301128,123422
33301129,123423
33301131,123425
33301133,123426
33301134,123422
33301140,123418
33301157,123425
33301158,123424
33301164,123423
33301177,123419
33301178,123419
33301179,123427
33301181,123418
33301182,123419
33301192,123427
33301194,123421
33301196,123423
33301211,123425
33301238,123426
33301259,123427
33301274,123422
33301276,123426
33301293,123422
33301303,123424
33301304,123423
33301307,123421
33301319,123424
33301328,123423
33301329,123420
33301331,123424
33301345,123418
33301346,123425
33301353,123422
33301363,123426
33301364,123425
33301367,123422
33301373,123421
33301374,123426
33301377,123423
33301384,123424
33301389,123424
33301399,123419
33301401,123425
33301415,123421
33301422,123418
33301425,123423
33301427,123425
33301428,123423
33301429,123418
33301431,123424
33301432,123423
33301437,123419
33301453,123418
33301455,123418
33301458,123418
33301459,123418
33301460,123421
33301465,123419
33301466,123426
33301472,123425
33301473,123425
33301476,123419
33301501,123427
33301504,123424
33301507,123421
33301509,123421
33301514,123423
33301515,123420
33301516,123424
33301521,123418
33301522,123424
33301541,123420
33301542,123423
33301545,123419
33301546,123426
33301552,123418
33301573,123426
33301579,123425
33301589,123422
33301601,123419
33301609,123419
33301611,123426
33301617,123418
33301634,123418
33301636,123425
33301642,123423
33301643,123422
33301646,123422
33301647,123420
33301650,123422
33301658,123427
33301660,123422
33301661,123419
33301673,123418
33301677,123419
33301690,123420
33301692,123425
33301700,123425
33301707,123423
33301715,123425
33301733,123418
33301757,123421
33301764,123421
33301770,123421
33301771,123421
33301773,123423
33301778,123426
33301780,123426
33301795,123422
33301797,123421
33301800,123419
33301801,123423
33301817,123422
33301818,123419
33301822,123423
33301826,123420
33301834,123425
33301836,123422
33301838,123422
33301842,123419
33301843,123426
33301847,123425
33301852,123422
33301856,123420
33301861,123424
33301866,123425
33301871,123422
33301872,123419
33301873,123426
33301884,123425
33301891,123424
33301900,123419
33301906,123418
33301910,123424
33301912,123423
33301914,123426
33301916,123423
33301923,123427
33301924,123421
33301932,123421
33301934,123425
33301938,123418
33301944,123425
33301950,123421
33301951,123424
33301957,123425
33301959,123418
33301972,123420
33301973,123421
33301976,123423
33301981,123420
33301982,123419
33301984,123421
33301985,123421
33302014,123419
33302019,123426
